Issuer,Year,Filename,VUI_Score,SPI_Score,GW_Risk_Score,Sentence_Count
Amundi,2021,amundi-2021.pdf,0.365,0.433,0.454,2992
Amundi,2022,amundi-2022.pdf,0.35,0.416,0.453,3265
Amundi,2023,amundi-2023.pdf,0.369,0.419,0.462,3471
Amundi,2024,amundi-2024.pdf,0.406,0.397,0.492,4309
Blackrock,2021,blackrock-2021.pdf,0.857,0.188,0.837,571
Blackrock,2022,blackrock-2022.pdf,0.856,0.194,0.834,708
Blackrock,2023,blackrock-2023.pdf,0.847,0.195,0.829,742
Blackstone,2021,blackstone-2021.pdf,0.406,0.357,0.51,1088
Blackstone,2022,blackstone-2022.pdf,0.6,0.203,0.687,1134
Blackstone,2023,blackstone-2023.pdf,0.58,0.203,0.675,1075
Blackstone,2024,blackstone-2024.pdf,0.497,0.25,0.609,1174
Citic,2021,citic-2021.pdf,0.312,0.351,0.461,1622
Citic,2022,citic-2022.pdf,0.271,0.333,0.445,1817
Citic,2023,citic-2023.pdf,0.281,0.337,0.449,956
Citic,2024,citic-2024.pdf,0.311,0.305,0.48,1348
Dws,2021,dws-2021.pdf,0.364,0.28,0.521,3167
Dws,2022,dws-2022.pdf,0.055,0.472,0.263,1574
Dws,2023,dws-2023.pdf,0.49,0.249,0.605,2984
Dws,2024,dws-2024.pdf,0.508,0.223,0.626,3500
Kkr,2021,KKR-2021.pdf,0.683,0.225,0.724,2042
Kkr,2022,KKR-2022.pdf,0.674,0.276,0.696,2298
Kkr,2023,KKR-2023.pdf,0.692,0.274,0.707,2154
Kkr,2024,KKR-2024.pdf,0.701,0.279,0.71,2349
Schroders,2021,schroders-2021.pdf,0.396,0.29,0.534,3085
Schroders,2022,schroders-2022.pdf,0.375,0.278,0.528,2936
Schroders,2023,schroders-2023.pdf,0.357,0.288,0.513,3401
Schroders,2024,schroders-2024.pdf,0.407,0.283,0.544,3497
State,2021,state-street-2021.pdf,0.663,0.333,0.665,1899
State,2022,state-street-2022.pdf,0.682,0.331,0.676,1630
State,2023,state-street-2023.pdf,0.702,0.329,0.688,1526
State,2024,state-street-2024.pdf,0.661,0.323,0.668,1494
