Issuer,Year,Filename,VUI_Score,SPI_Score,GW_Risk_Score,Sentence_Count
Kkr,2021,KKR-2021.pdf,0.683,0.243,0.715,2042
Kkr,2022,KKR-2022.pdf,0.674,0.275,0.696,2298
Kkr,2023,KKR-2023.pdf,0.692,0.27,0.708,2154
Kkr,2024,KKR-2024.pdf,0.701,0.275,0.711,2349
Amundi,2021,amundi-2021.pdf,0.365,0.382,0.477,2992
Amundi,2022,amundi-2022.pdf,0.35,0.351,0.481,3265
Amundi,2023,amundi-2023.pdf,0.369,0.358,0.489,3471
Amundi,2024,amundi-2024.pdf,0.406,0.333,0.521,4309
Blackrock,2021,blackrock-2021.pdf,0.857,0.195,0.834,571
Blackrock,2022,blackrock-2022.pdf,0.856,0.208,0.828,708
Blackrock,2023,blackrock-2023.pdf,0.847,0.198,0.827,742
Blackstone,2021,blackstone-2021.pdf,0.406,0.335,0.52,1088
Blackstone,2022,blackstone-2022.pdf,0.6,0.201,0.688,1134
Blackstone,2023,blackstone-2023.pdf,0.58,0.199,0.677,1075
Blackstone,2024,blackstone-2024.pdf,0.497,0.253,0.607,1174
Citic,2021,citic-2021.pdf,0.312,0.318,0.475,1622
Citic,2022,citic-2022.pdf,0.271,0.288,0.465,1817
Citic,2023,citic-2023.pdf,0.281,0.294,0.468,956
Citic,2024,citic-2024.pdf,0.311,0.259,0.5,1348
Dws,2021,dws-2021.pdf,0.364,0.248,0.534,3167
Dws,2022,dws-2022.pdf,0.055,0.466,0.266,1574
Dws,2023,dws-2023.pdf,0.49,0.246,0.606,2984
Dws,2024,dws-2024.pdf,0.508,0.225,0.625,3500
Schroders,2021,schroders-2021.pdf,0.396,0.285,0.537,3085
Schroders,2022,schroders-2022.pdf,0.375,0.258,0.537,2936
Schroders,2023,schroders-2023.pdf,0.357,0.276,0.519,3401
Schroders,2024,schroders-2024.pdf,0.407,0.275,0.547,3497
State,2021,state-street-2021.pdf,0.663,0.271,0.692,1898
State,2022,state-street-2022.pdf,0.682,0.267,0.704,1630
State,2023,state-street-2023.pdf,0.702,0.265,0.716,1526
State,2024,state-street-2024.pdf,0.661,0.268,0.692,1494
